0	0
0.05	-0.0024049865
0.1	-0.010113551
0.15	-0.0238661
0.2	-0.044403042
0.25	-0.070604364
0.3	-0.10018832
0.35	-0.1340152
0.4	-0.17148937
0.45	-0.21183609
0.5	-0.25466408
0.55	-0.298922
0.6	-0.34395614
0.65	-0.38817948
0.7	-0.43030581
0.75	-0.46758375
0.8	-0.50362982
0.85	-0.5308633
0.9	-0.54835872
0.95	-0.55476125
1	-0.54799143
1.05	-0.52646145
1.1	-0.49131282
1.15	-0.44724387
1.2	-0.39175457
1.25	-0.32385648
1.3	-0.24179033
1.35	-0.14525382
1.4	-0.040310886
1.45	0.074820584
1.5	0.19684707
1.55	0.31782483
1.6	0.41772554
1.65	0.48592928
1.7	0.5175016
1.75	0.51592299
1.8	0.50670352
1.85	0.50688817
1.9	0.51040438
1.95	0.53679162
2	0.56738486
2.05	0.58654564
2.1	0.5787681
2.15	0.56929996
2.2	0.53380196
2.25	0.49792439
2.3	0.46047375
2.35	0.43488629
2.4	0.44120802
2.45	0.47349589
2.5	0.5109416
2.55	0.49199841
2.6	0.42513107
2.65	0.29317637
2.7	0.13900908
2.75	-0.016078037
2.8	-0.16992391
2.85	-0.29918729
2.9	-0.44124051
2.95	-0.59175747
3	-0.73218003
3.05	-0.86637927
3.1	-0.96640254
3.15	-1.0755699
3.2	-1.133272
3.25	-1.15804
3.3	-1.1558246
3.35	-1.1314848
3.4	-1.0450459
3.45	-0.96372343
3.5	-0.82389594
3.55	-0.67096324
3.6	-0.4324508
3.65	-0.24752653
3.7	0.013293124
3.75	0.22983147
3.8	0.39290761
3.85	0.50458711
3.9	0.65395335
3.95	0.73826738
4	0.82134334
4.05	0.81574405
4.1	0.83548811
4.15	0.84985711
4.2	0.82380911
4.25	0.82710617
4.3	0.78761849
4.35	0.7419362
4.4	0.67555567
4.45	0.59229633
4.5	0.52150571
4.55	0.45016434
4.6	0.33946034
4.65	0.24854297
4.7	0.1235182
4.75	0.07653412
4.8	-0.060290395
4.85	-0.17918667
4.9	-0.23555453
4.95	-0.3005905
5	-0.28533094
5.05	-0.31518473
5.1	-0.28734823
5.15	-0.27143155
5.2	-0.23799326
5.25	-0.30027712
5.3	-0.39226213
5.35	-0.37625476
5.4	-0.48226495
5.45	-0.48690113
5.5	-0.63310007
5.55	-0.70574068
5.6	-0.77545953
5.65	-0.79947106
5.7	-0.89350766
5.75	-0.83218148
5.8	-0.80984252
5.85	-0.63626955
5.9	-0.52797589
5.95	-0.27875935
6	-0.12198401
6.05	0.20663406
6.1	0.45130119
6.15	0.55456192
6.2	0.78920283
6.25	0.8937556
6.3	0.98074742
6.35	1.0289755
6.4	1.0773592
6.45	0.92882895
6.5	0.74878873
6.55	0.64512183
6.6	0.66703065
6.65	0.47074792
6.7	0.2883148
6.75	0.11173837
6.8	-0.044463559
6.85	-0.13168586
6.9	-0.10292972
6.95	-0.07516941
7	-0.21836754
7.05	-0.3019783
7.1	-0.15098683
7.15	-0.10552309
7.2	-0.35331066
7.25	-0.31324589
7.3	-0.026978002
7.35	-0.22872009
7.4	-0.12815713
7.45	0.058433386
7.5	0.12601825
7.55	-0.030523955
7.6	3.6093189E-4
7.65	0.14821834
7.7	-0.16736202
7.75	-0.32725522
7.8	-0.27050184
7.85	-0.28099465
7.9	-0.37479246
7.95	-0.29291182
8	-0.16345678
8.05	-0.25359125
8.1	-0.1764766
8.15	-0.063439906
8.2	-0.050365158
8.25	-0.10751975
8.3	-0.19839442
8.35	-0.073366906
8.4	0.09974929
8.45	0.19306862
8.5	0.2854721
8.55	0.5481337
8.6	0.4087294
8.65	0.42896197
8.7	0.34058669
8.75	-0.0013523317
8.8	-0.23873903
8.85	-0.19036573
8.9	-0.18482469
8.95	-0.13201895
9	-0.069135998
9.05	-0.096767421
9.1	-0.14787773
9.15	-0.48468202
9.2	-0.34200091
9.25	-0.076871287
9.3	0.077316796
9.35	-0.23133646
9.4	-0.1427254
9.45	0.017844086
9.5	0.079105717
9.55	0.15933227
9.6	-0.045598759
9.65	-0.078945771
9.7	0.15191185
9.75	0.026401124
9.8	-0.061838876
9.85	0.17009456
9.9	-0.043786607
9.95	-0.061050144
10	0.021904231
10.05	0.030647661
10.1	0.22792762
10.15	0.46553526
10.2	0.42748087
10.25	0.44292439
10.3	0.2533934
10.35	0.12474383
10.4	-0.25845101
10.45	-0.21810654
10.5	-0.22636198
10.55	0.17496437
10.6	0.10980153
10.65	0.18954839
10.7	0.37872087
10.75	0.4066069
10.8	0.76143003
10.85	0.44829483
10.9	0.39404962
10.95	0.6222876
11	0.52269819
11.05	-0.13444163
11.1	-0.59766389
11.15	-0.36510842
11.2	-0.69129648
11.25	-0.63601049
11.3	-0.83295674
11.35	-0.69485019
11.4	-0.43021864
11.45	-0.35176967
11.5	-0.19360356
11.55	-0.56636801
11.6	-0.4880715
11.65	-0.44354874
11.7	-0.70939619
11.75	-0.57139978
11.8	-0.62054439
11.85	-0.6178974
11.9	-0.29066117
11.95	-0.02388398
